'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_uu_g2','InvCoshPar_uu_g3','InvCoshPar_uu_g4','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_ud_g2','InvCoshPar_ud_g3','InvCoshPar_ud_g4','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_us_g2','InvCoshPar_us_g3','InvCoshPar_us_g4','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1','InvCoshPar_ss_g2','InvCoshPar_ss_g3','InvCoshPar_ss_g4'
1.06404,-0.0814944,0.322402,0.0399771,0.0461856,0.000436338,1.11438,0.374131,-0.332086,-0.0688081,0.00252911,0.0122881,1.26458,-0.178474,-0.0457563,0.116493,0.0195356,-0.00550906,1.33021,-0.121557,0.149178,-0.175177,-0.0322359,-0.00395551
0.982054,-0.0891927,0.361391,-0.00853738,0.0338185,-0.00893847,1.37487,0.55057,-0.632643,-0.0117322,-0.0285309,0.00449026,1.14988,-0.128303,-0.0833892,-0.0348218,0.0637091,0.0106262,1.51808,0.0867833,0.00978517,-0.121466,-0.00902902,0.000558353
0.982054,-0.0891927,0.361391,-0.00853738,0.0338185,-0.00893847,1.37487,0.55057,-0.632643,-0.0117322,-0.0285309,0.00449026,1.14988,-0.128303,-0.0833892,-0.0348218,0.0637091,0.0106262,1.51808,0.0867833,0.00978517,-0.121466,-0.00902902,0.000558353
1.09062,-0.461614,-0.103428,-0.0866783,0.00861037,-0.0137577,1.44274,0.30213,-0.806681,0.029349,-0.0154384,0.000763198,1.12052,-0.462957,-0.30878,-0.240964,0.0444408,0.0073147,1.46354,0.460465,-0.093665,-0.177531,-0.0192813,-0.00810864
1.36236,-0.506777,-0.0685621,-0.0369379,0.0152883,-0.00676158,1.28386,0.0557112,-0.420565,-0.0259225,-0.0602117,0.0153029,1.12902,-0.31981,-0.782638,-0.255903,0.0667466,0.016321,1.54381,0.522209,-0.179945,-0.263278,-0.0417285,-0.0142524
1.43306,-0.201948,-0.00424273,-0.0775551,-0.0318581,-0.0192141,1.07924,0.257802,-0.302889,0.0256416,-0.0561174,0.00310736,1.33148,-0.0387025,-0.553985,-0.16961,0.0530637,0.0215637,1.767,0.778895,0.173284,-0.137766,-0.0288232,-0.0134548
1.34353,0.253489,-0.0340816,-0.0931872,-0.0490086,-0.0355128,1.08578,0.0351721,-0.385043,-0.104668,-0.0830907,0.0140957,1.5256,-0.334721,-0.713086,-0.136276,0.062752,0.0193218,1.59966,0.87204,0.0190899,-0.405831,-0.0536119,-0.0118551
1.40376,0.441522,-0.294589,-0.00514973,-0.0675145,-0.0327314,1.34369,0.0326278,-0.202545,0.00688513,-0.0738714,0.0168646,1.13367,-0.461988,-0.576671,-0.207437,0.0686669,0.0127537,1.47631,0.768619,0.0848633,-0.373672,-0.0889054,-0.00747445
1.20393,0.335405,-0.269552,-0.0329059,-0.0393196,-0.0292985,1.29047,0.0581588,-0.131151,-0.00877324,-0.0533098,0.0153774,1.04328,-0.55007,-0.644669,-0.317059,0.06633,0.0151506,1.61841,0.663506,-0.184676,-0.385595,-0.0565932,-0.011131
1.01904,-0.0655209,-0.139483,0.039845,-0.0157548,-0.0290774,0.991682,0.153216,-0.116145,-0.0143742,-0.0565662,0.0271172,1.17105,-0.661031,-0.490389,-0.222231,0.0510498,0.0105379,1.65251,0.789507,-0.0288012,-0.388217,-0.0492707,-0.0205052
1.06478,0.0344895,-0.161193,-0.00330643,-0.0332318,-0.0232487,1.22779,0.118251,0.0304775,-0.0309,-0.0272907,0.0291328,0.921105,-0.806806,-0.183432,-0.144495,0.0444508,-0.00543994,1.46869,0.759239,-0.11163,-0.319861,-0.0641428,-0.00653302
1.10387,-0.203836,-0.263686,-0.14634,-0.0413128,-0.00444572,1.4947,0.17334,-0.117508,-0.00687443,-0.0194769,0.023871,0.762142,-0.734975,-0.141825,-0.300703,0.025058,-0.0198573,1.56058,0.795981,-0.0603848,-0.132298,-0.0645193,0.000430517
1.20281,0.194582,-0.201902,-0.125984,-0.0276688,-0.00444047,1.47013,0.378204,-0.06404,-0.144558,0.000589963,0.0407734,0.620445,-0.858549,-0.110807,-0.119366,-0.0254739,-0.00777836,1.43276,0.992721,0.0235706,0.137369,-0.0324199,0.00676275
1.06894,0.0148413,-0.167373,-0.0697693,-0.00732795,0.0133192,1.39567,0.121173,-0.238234,-0.275372,-0.0107682,0.041689,0.680124,-0.699242,0.00196536,-0.0755517,-0.0997284,0.0020948,1.48973,0.607477,-0.0349791,0.227867,-0.0110306,0.00558548
1.06894,0.0148413,-0.167373,-0.0697693,-0.00732795,0.0133192,1.39567,0.121173,-0.238234,-0.275372,-0.0107682,0.041689,0.680124,-0.699242,0.00196536,-0.0755517,-0.0997284,0.0020948,1.48973,0.607477,-0.0349791,0.227867,-0.0110306,0.00558548
1.13552,0.415817,-0.263098,-0.281127,0.012159,0.0240113,1.33833,0.247208,0.0608692,-0.254928,0.0103572,0.0413504,0.72149,-0.518357,-0.00526913,-0.14649,-0.117506,-0.00209377,1.61623,0.484131,0.191239,0.30726,-0.0373509,0.00327476
1.13972,0.804269,-0.562507,-0.324221,-0.01789,0.0286233,1.36391,0.216803,-0.15219,-0.226359,0.0460755,0.0371984,0.788325,-0.292121,-0.00729478,-0.274741,-0.125871,-3.34269e-05,1.36684,0.403883,0.308055,0.400706,-0.056863,-0.000151256
0.935042,0.787851,-0.813267,-0.231101,0.00809969,0.0260468,1.33223,0.282616,0.134521,-0.140114,0.128605,0.0321343,0.860438,-0.758158,-0.105131,-0.296579,-0.109272,-0.00184133,1.56917,0.551143,0.24603,0.44623,-0.069231,0.00942951
0.935042,0.787851,-0.813267,-0.231101,0.00809969,0.0260468,1.33223,0.282616,0.134521,-0.140114,0.128605,0.0321343,0.860438,-0.758158,-0.105131,-0.296579,-0.109272,-0.00184133,1.56917,0.551143,0.24603,0.44623,-0.069231,0.00942951
0.935042,0.787851,-0.813267,-0.231101,0.00809969,0.0260468,1.33223,0.282616,0.134521,-0.140114,0.128605,0.0321343,0.860438,-0.758158,-0.105131,-0.296579,-0.109272,-0.00184133,1.56917,0.551143,0.24603,0.44623,-0.069231,0.00942951
0.935042,0.787851,-0.813267,-0.231101,0.00809969,0.0260468,1.33223,0.282616,0.134521,-0.140114,0.128605,0.0321343,0.860438,-0.758158,-0.105131,-0.296579,-0.109272,-0.00184133,1.56917,0.551143,0.24603,0.44623,-0.069231,0.00942951
0.935042,0.787851,-0.813267,-0.231101,0.00809969,0.0260468,1.33223,0.282616,0.134521,-0.140114,0.128605,0.0321343,0.860438,-0.758158,-0.105131,-0.296579,-0.109272,-0.00184133,1.56917,0.551143,0.24603,0.44623,-0.069231,0.00942951
0.935042,0.787851,-0.813267,-0.231101,0.00809969,0.0260468,1.33223,0.282616,0.134521,-0.140114,0.128605,0.0321343,0.860438,-0.758158,-0.105131,-0.296579,-0.109272,-0.00184133,1.56917,0.551143,0.24603,0.44623,-0.069231,0.00942951
0.777957,0.873663,-0.94116,-0.297263,-0.0185956,0.0335085,1.1128,0.424445,0.112624,-0.0347023,0.154834,0.0340485,0.966144,-0.604081,-0.0980577,-0.169586,-0.0842357,0.00498168,1.37282,0.526719,0.601689,0.31736,-0.0322204,0.0323177
0.777957,0.873663,-0.94116,-0.297263,-0.0185956,0.0335085,1.1128,0.424445,0.112624,-0.0347023,0.154834,0.0340485,0.966144,-0.604081,-0.0980577,-0.169586,-0.0842357,0.00498168,1.37282,0.526719,0.601689,0.31736,-0.0322204,0.0323177
0.84811,0.460508,-0.744312,-0.337065,0.00338592,0.0284908,1.19596,0.377306,-0.133603,0.135506,0.13686,0.0321642,0.878877,-0.639261,-0.00350778,-0.248938,-0.0691713,0.0175513,1.49364,0.512759,0.488495,0.299591,-0.0115567,0.0234184
0.830447,0.521733,-0.455663,-0.286024,-0.0080651,0.0196344,1.22316,0.503819,0.205118,0.203058,0.115622,0.0346423,1.06406,-0.784931,0.106118,-0.325216,-0.0348042,0.0156209,1.66012,0.487471,0.751796,0.229594,-5.26705e-05,0.0345099
0.700125,0.339569,-0.690199,-0.162944,-0.0279201,0.0208699,1.25253,0.469782,0.273958,0.197374,0.0581965,0.0258048,1.15587,-0.692062,0.579042,-0.299749,0.0337585,0.00624877,1.63784,0.539472,0.909812,0.170773,-0.047461,0.0217488
0.634082,0.166277,-0.883841,0.0718936,0.00988071,0.0187287,1.35786,0.563306,0.358078,0.0182116,0.0537716,0.0246747,1.07482,-0.548212,0.393435,-0.361126,0.00214293,-0.0030355,1.40984,0.79137,0.87397,0.133,-0.0488754,0.031654
0.700782,0.0566163,-0.810699,-0.0278381,0.0351835,0.0109971,1.10817,0.430098,0.976839,0.110832,0.0700212,0.0330968,0.941416,-0.23155,-0.153523,-0.261874,0.0515892,-0.00847099,1.24334,0.320444,0.849581,0.0411883,-0.00382022,0.0157931
0.88682,0.236866,-0.642293,-0.0994466,0.114615,0.010647,1.27656,0.253335,0.781881,0.0676595,0.0791718,0.0321862,1.11241,-0.049429,-0.451436,-0.215344,0.0995455,-0.00817588,1.41331,0.198493,0.892297,0.164909,-0.00781953,0.0219151
0.88682,0.236866,-0.642293,-0.0994466,0.114615,0.010647,1.27656,0.253335,0.781881,0.0676595,0.0791718,0.0321862,1.11241,-0.049429,-0.451436,-0.215344,0.0995455,-0.00817588,1.41331,0.198493,0.892297,0.164909,-0.00781953,0.0219151
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
0.798391,0.40347,-0.433389,0.0165806,0.0895846,0.00225038,1.45825,0.347725,0.867837,0.0745945,0.0395475,0.0293351,1.14571,-0.229823,-0.594259,-0.433284,0.0861578,0.000359239,1.44366,0.283582,0.86409,0.108793,0.0331211,0.0108938
0.798391,0.40347,-0.433389,0.0165806,0.0895846,0.00225038,1.45825,0.347725,0.867837,0.0745945,0.0395475,0.0293351,1.14571,-0.229823,-0.594259,-0.433284,0.0861578,0.000359239,1.44366,0.283582,0.86409,0.108793,0.0331211,0.0108938
0.798391,0.40347,-0.433389,0.0165806,0.0895846,0.00225038,1.45825,0.347725,0.867837,0.0745945,0.0395475,0.0293351,1.14571,-0.229823,-0.594259,-0.433284,0.0861578,0.000359239,1.44366,0.283582,0.86409,0.108793,0.0331211,0.0108938
0.798391,0.40347,-0.433389,0.0165806,0.0895846,0.00225038,1.45825,0.347725,0.867837,0.0745945,0.0395475,0.0293351,1.14571,-0.229823,-0.594259,-0.433284,0.0861578,0.000359239,1.44366,0.283582,0.86409,0.108793,0.0331211,0.0108938
0.798391,0.40347,-0.433389,0.0165806,0.0895846,0.00225038,1.45825,0.347725,0.867837,0.0745945,0.0395475,0.0293351,1.14571,-0.229823,-0.594259,-0.433284,0.0861578,0.000359239,1.44366,0.283582,0.86409,0.108793,0.0331211,0.0108938
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
