# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0155757 -----------------
#dely    BF
0.050 -0.0584 -0.0047
0.150 -0.0075 -0.0007
0.250 -0.0878 -0.0076
0.350 -0.0263 -0.0025
0.450 -0.0187 -0.0017
0.550  0.0174  0.0021
0.650  0.0150  0.0020
0.750  0.0038  0.0005
0.850  0.0019  0.0003
0.950 -0.0020 -0.0004
1.050  0.0053  0.0012
1.150  0.0030  0.0008
1.250 -0.0008 -0.0004
1.350  0.0000  0.0000
1.450 -0.0006 -0.0004
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
