# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.20073 -----------------
#dely    BF
0.050  0.2566  0.0025
0.150  0.2488  0.0025
0.250  0.2344  0.0025
0.350  0.1896  0.0021
0.450  0.1891  0.0022
0.550  0.1781  0.0022
0.650  0.1491  0.0019
0.750  0.1311  0.0018
0.850  0.1051  0.0016
0.950  0.0851  0.0014
1.050  0.0706  0.0013
1.150  0.0576  0.0012
1.250  0.0420  0.0010
1.350  0.0308  0.0008
1.450  0.0217  0.0007
1.550  0.0139  0.0006
1.650  0.0045  0.0003
1.750 -0.0007 -0.0001
