# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.106708 -----------------
#dely    BF
0.050 -0.1402 -0.0010
0.150 -0.1373 -0.0010
0.250 -0.1261 -0.0010
0.350 -0.1061 -0.0009
0.450 -0.0867 -0.0008
0.550 -0.0719 -0.0007
0.650 -0.0706 -0.0007
0.750 -0.0588 -0.0006
0.850 -0.0579 -0.0007
0.950 -0.0486 -0.0006
1.050 -0.0450 -0.0006
1.150 -0.0339 -0.0005
1.250 -0.0270 -0.0005
1.350 -0.0253 -0.0005
1.450 -0.0116 -0.0003
1.550 -0.0130 -0.0004
1.650 -0.0050 -0.0002
1.750 -0.0021 -0.0001
