# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.252728 -----------------
#dely    BF
0.050  0.3794  0.0028
0.150  0.3800  0.0029
0.250  0.3225  0.0026
0.350  0.3077  0.0025
0.450  0.2662  0.0023
0.550  0.2167  0.0020
0.650  0.1859  0.0018
0.750  0.1260  0.0013
0.850  0.1034  0.0012
0.950  0.0844  0.0010
1.050  0.0686  0.0009
1.150  0.0381  0.0006
1.250  0.0221  0.0004
1.350  0.0166  0.0003
1.450  0.0077  0.0002
1.550  0.0037  0.0001
1.650 -0.0018 -0.0001
1.750  0.0002  0.0000
