# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.025835 -----------------
#dely    BF
0.050  0.0143  0.0007
0.150  0.0126  0.0006
0.250  0.0181  0.0010
0.350  0.0252  0.0014
0.450  0.0414  0.0024
0.550  0.0176  0.0012
0.650  0.0239  0.0017
0.750  0.0468  0.0035
0.850  0.0229  0.0022
0.950  0.0164  0.0015
1.050  0.0119  0.0014
1.150  0.0062  0.0010
1.250 -0.0012 -0.0002
1.350  0.0021  0.0005
1.450  0.0001  0.0001
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
