# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0267746 -----------------
#dely    BF
0.050 -0.0161 -0.0001
0.150 -0.0389 -0.0003
0.250 -0.0149 -0.0001
0.350 -0.0153 -0.0001
0.450 -0.0179 -0.0002
0.550 -0.0334 -0.0003
0.650 -0.0234 -0.0002
0.750 -0.0230 -0.0002
0.850 -0.0108 -0.0001
0.950 -0.0041 -0.0001
1.050 -0.0193 -0.0003
1.150 -0.0162 -0.0002
1.250 -0.0076 -0.0001
1.350 -0.0102 -0.0002
1.450 -0.0033 -0.0001
1.550 -0.0077 -0.0002
1.650 -0.0042 -0.0002
1.750 -0.0011 -0.0001
