# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0410372 -----------------
#dely    BF
0.050 -0.0626 -0.0066
0.150 -0.0738 -0.0072
0.250 -0.0625 -0.0064
0.350 -0.0376 -0.0046
0.450 -0.0351 -0.0038
0.550 -0.0342 -0.0045
0.650 -0.0305 -0.0045
0.750 -0.0253 -0.0038
0.850 -0.0169 -0.0033
0.950 -0.0113 -0.0027
1.050 -0.0079 -0.0020
1.150 -0.0047 -0.0014
1.250 -0.0033 -0.0011
1.350 -0.0048 -0.0028
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
