# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.210814 -----------------
#dely    BF
0.050  0.3062  0.0024
0.150  0.2912  0.0023
0.250  0.2557  0.0021
0.350  0.2359  0.0021
0.450  0.2047  0.0019
0.550  0.1778  0.0017
0.650  0.1314  0.0014
0.750  0.1362  0.0015
0.850  0.0985  0.0012
0.950  0.0936  0.0012
1.050  0.0623  0.0009
1.150  0.0481  0.0008
1.250  0.0304  0.0005
1.350  0.0136  0.0003
1.450  0.0101  0.0002
1.550  0.0092  0.0003
1.650  0.0041  0.0002
1.750 -0.0009 -0.0001
